oof_rf,oof_xgb,oof_cat,oof_et
0.9100765349284491,0.9542274475097656,0.9473135231090182,0.9266666666666666
0.09,0.09681958705186844,0.04012850537086966,0.056666666666666664
0.27666666666666667,0.3166765868663788,0.2487346262809252,0.27666666666666667
0.8830866612613336,0.9771730899810791,0.9645250291151597,0.8866666666666667
0.9597510464860102,0.9844533801078796,0.9918873666806471,0.97
0.06333333333333334,0.050872888416051865,0.030367292124551117,0.05333333333333334
0.02,0.029872989282011986,0.02691431644211694,0.03
0.6858148259926515,0.8502476811408997,0.7963225023989362,0.8066666666666666
0.8866666666666667,0.9674133062362671,0.9794836673933257,0.9533333333333334
0.0,0.008051740005612373,0.004305816848388043,0.01
0.016666666666666666,0.016421029344201088,0.01515074257724917,0.03333333333333333
0.6984793103122134,0.8242146968841553,0.7820327209131048,0.5866666666666667
0.8240610622882945,0.8711499571800232,0.8049615612599647,0.7433333333333333
0.09,0.04700898006558418,0.08481661133310622,0.08
0.25,0.22057828307151794,0.08453483484823963,0.18
0.7372588149476932,0.8252019882202148,0.8183747058949556,0.7266666666666667
0.7105342038621258,0.8333184719085693,0.8508615993266769,0.7633333333333333
0.15715795251818307,0.16880321502685547,0.12175020195364826,0.29333333333333333
0.09666666666666666,0.07050668448209763,0.09892411854599843,0.10666666666666667
0.7652686361793376,0.9011906385421753,0.7747093424527021,0.5933333333333334
0.8785937524068398,0.8561621904373169,0.8974798964014409,0.8766666666666667
0.07666666666666666,0.0450822114944458,0.10127704650278517,0.11666666666666667
0.05798818752307125,0.10627937316894531,0.08442649519005839,0.04
0.4781828394021727,0.27683600783348083,0.4813317296005851,0.46
0.9556041782354703,0.9780411124229431,0.9868950065591213,0.9766666666666667
0.03361164122137405,0.016048818826675415,0.02044381751939534,0.11
0.14940607012035584,0.1549472212791443,0.09260622883652776,0.11
0.43743464833372236,0.43761610984802246,0.471871019641523,0.41081018518518514
0.9298694646881495,0.9714846611022949,0.9564628567833637,0.93
0.0033333333333333335,0.006897214334458113,0.0014588810035711492,0.013333333333333334
0.03333333333333333,0.021349232643842697,0.019903567604924052,0.05333333333333334
0.412895009906123,0.5184722542762756,0.5202927809387657,0.4747453703703703
0.6887394311774532,0.7656340003013611,0.7625712923131155,0.5633333333333334
0.11,0.09366259723901749,0.0755661477298073,0.07666666666666666
0.13333333333333333,0.11469759792089462,0.0817304372451504,0.16
0.5071499938397968,0.510215699672699,0.5646406998592791,0.48
0.595658449922274,0.7795770168304443,0.7105394872096021,0.6633333333333333
0.02,0.02927355282008648,0.040542228034409426,0.043333333333333335
0.1,0.047445762902498245,0.06347168764365531,0.09
0.4424680569862981,0.39242270588874817,0.49397822517574913,0.5833333333333334
0.909495019479958,0.9714084267616272,0.9636618681990875,0.9566666666666667
0.023333333333333334,0.0168110691010952,0.028090670471930302,0.043333333333333335
0.06465485418973792,0.06415200233459473,0.04623091982749321,0.03333333333333333
0.4760507409986756,0.5386154651641846,0.5719612921300623,0.5133333333333333
0.84185492318151,0.9172855019569397,0.9324343571313716,0.9066666666666666
0.0033333333333333335,0.008696470409631729,0.004030128362002415,0.03
0.14333333333333334,0.05529287829995155,0.038419130364425146,0.10666666666666667
0.46909671271611236,0.38774430751800537,0.4079552044221035,0.44
0.716086843473739,0.9032338261604309,0.8922122657023364,0.8066666666666666
0.0033333333333333335,0.007008333690464497,0.0016687300272392913,0.0033333333333333335
0.04,0.016208838671445847,0.018324578704054732,0.08333333333333333
0.6959984373887211,0.7801610231399536,0.720294961783065,0.7033333333333334
0.39114071480179247,0.6471894383430481,0.5826135578266437,0.36333333333333334
0.0033333333333333335,0.011099416762590408,0.004744560702871158,0.006666666666666667
0.023333333333333334,0.018440891057252884,0.006815204246166284,0.013333333333333334
0.41894630874208433,0.3323439955711365,0.3358541909071971,0.29
0.5333857382612961,0.5242635607719421,0.8330345327237807,0.84
0.043333333333333335,0.025125008076429367,0.02299814238653166,0.06
0.11666666666666667,0.07568024843931198,0.09010127932879927,0.11333333333333333
0.6150950885036124,0.7313331961631775,0.7225002875227454,0.6166666666666667
0.8331311504741457,0.9038573503494263,0.9102416661513164,0.82
0.03,0.018975790590047836,0.020327804618418176,0.02666666666666667
0.10666666666666667,0.07100283354520798,0.06713833547689689,0.11
0.4350487554811682,0.3077792525291443,0.4473658435286657,0.5633333333333334
0.78,0.8976019620895386,0.9589729171991481,0.8266666666666667
0.07333333333333333,0.033096473664045334,0.03629739628594101,0.16666666666666666
0.08333333333333333,0.042593762278556824,0.033866800300916454,0.07666666666666666
0.2546955375326627,0.11976692825555801,0.10608070861847499,0.23207175925925924
0.8733333333333333,0.9612571001052856,0.9744746159608098,0.8033333333333333
0.0033333333333333335,0.015983980149030685,0.009969790156478284,0.016666666666666666
0.011275045537340619,0.019718067720532417,0.010154847615527563,0.0033333333333333335
0.47130025918835683,0.4557105302810669,0.44697690101437304,0.3186863425925926
0.7358486411454541,0.753822922706604,0.7259233201179052,0.5633333333333334
0.03,0.04085763543844223,0.09280844558604118,0.14333333333333334
0.16,0.11552824825048447,0.07748880570009896,0.07666666666666666
0.6184085727765414,0.7613538503646851,0.6944005506857577,0.6107175925925926
0.5323350117997626,0.5139180421829224,0.6233884768864755,0.5066666666666667
0.036850823749515836,0.03933660313487053,0.0321613493651092,0.12666666666666668
0.21333333333333335,0.1743965744972229,0.2636081646060352,0.21333333333333335
0.41232579976236855,0.35498374700546265,0.5434995146392068,0.3433333333333333
0.915695546923093,0.9653636813163757,0.9229653747292595,0.9066666666666666
0.15666666666666668,0.05885300412774086,0.08566528982355148,0.3566666666666667
0.14,0.11765167862176895,0.1774151653205721,0.12666666666666668
0.36260127090519345,0.3258485496044159,0.376512826993239,0.4066666666666667
0.9833333333333333,0.9579124450683594,0.982812158578484,0.91
0.056666666666666664,0.032118868082761765,0.019250333437215637,0.04
0.05,0.037335239350795746,0.023890658166262655,0.05
0.37385950883046887,0.5186014771461487,0.5824450957169969,0.47
0.8366666666666667,0.9711443781852722,0.9894881505699945,0.96
0.0,0.0125968586653471,0.005064287823507835,0.0033333333333333335
0.10524044009978596,0.05249151214957237,0.03654580854051034,0.05333333333333334
0.7310783210477212,0.9267801642417908,0.8108911962882726,0.6266666666666667
0.7224963864750449,0.7086902856826782,0.7598626655942775,0.6966666666666667
0.29,0.29025450348854065,0.2128540017877328,0.25333333333333335
0.20333333333333334,0.12157367914915085,0.05337540950696441,0.09333333333333334
0.9,0.9569865465164185,0.9738275505159284,0.9166666666666666
0.59052487808581,0.7469276785850525,0.6258641031166275,0.5733333333333334
0.08465485418973792,0.045486681163311005,0.07539463159168491,0.10666666666666667
0.22634913854478142,0.1962771862745285,0.20425506521105333,0.21333333333333335
0.5028642303509564,0.6369616389274597,0.8268349068887207,0.6933333333333334
0.9265089335566722,0.9567641019821167,0.9533595193932033,0.92
0.056666666666666664,0.028490491211414337,0.03469602110851224,0.1
0.08666666666666667,0.033735208213329315,0.06452156982605514,0.1
0.7466666666666667,0.9248625636100769,0.8868178661083382,0.7133333333333334
0.7392128203311268,0.8479024767875671,0.6788771068702679,0.7666666666666667
0.06403887794727207,0.04442520812153816,0.03522558847923014,0.05333333333333334
0.08333333333333333,0.0613408237695694,0.02834316250096412,0.03333333333333333
0.7150525264969962,0.8993474245071411,0.8937878892031909,0.6866666666666666
0.8533333333333334,0.9772597551345825,0.9902207222544583,0.93
0.09333333333333334,0.08918311446905136,0.04170507520499353,0.03333333333333333
0.011686423064374,0.014598875306546688,0.013743472110201011,0.013333333333333334
0.6912423707588363,0.913009524345398,0.887593945161797,0.6933333333333334
0.7354567246029659,0.8752524852752686,0.812319640628381,0.76
0.1,0.034086473286151886,0.05066630712277351,0.03
0.3333333333333333,0.4244982600212097,0.3286392755359833,0.19
0.7127605146188224,0.8386783003807068,0.7001994739352119,0.7033333333333334
0.800537418902254,0.9324332475662231,0.9548090564805417,0.9533333333333334
0.04666666666666667,0.04401243105530739,0.034892630692834346,0.1
